id,name,now_cost,position,team,ict_index_rank_type,creativity_rank,penalties_order,clean_sheets,transfers_out,minutes,value_form,expected_goal_involvements_per_90,corners_and_indirect_freekicks_order,transfers_in_event,assists,expected_assists_per_90,form,selected_by_percent,direct_freekicks_order,goals_scored,starts,event_points,points_per_game_rank,starts_per_90,expected_goals,news_added,ep_this,value_season,points_per_game,red_cards,transfers_in,transfers_out_event,goals_conceded_per_90,clean_sheets_per_90,in_dreamteam,selected_rank_type,chance_of_playing_this_round,news,saves_per_90,expected_goals_per_90,form_rank,form_rank_type,ep_next,now_cost_rank,points_per_game_rank_type,dreamteam_count,expected_goal_involvements,selected_rank,web_name,chance_of_playing_next_round,threat_rank_type,goals_conceded,saves,now_cost_rank_type,threat_rank,influence_rank,bps,status,expected_assists,expected_goals_conceded,total_points,ict_index_rank,influence_rank_type,creativity_rank_type,expected_goals_conceded_per_90
11,Marcus Oliveira Alencar,45,MID,Arsenal,51,302,,0,96,0,0.0,0.0,,190,0,0.0,0.0,0.2,,0,0,0,325,0.0,0.00,,1.5,0.0,0.0,0,190,96,0.0,0.0,False,112,,,0.0,0.0,325,64,1.5,498,64,0,0.00,365,Marquinhos,,51,0,0,248,302,302,0,a,0.00,0.00,0,302,51,51,0.0
12,Gabriel Martinelli Silva,80,MID,Arsenal,267,635,3.0,0,982,0,0.0,0.0,4.0,1508,0,0.0,0.0,14.9,3.0,0,0,0,636,0.0,0.00,,3.2,0.0,0.0,0,1508,982,0.0,0.0,False,9,,,0.0,0.0,636,267,3.2,16,267,0,0.00,28,Martinelli,,267,0,0,9,635,635,0,a,0.00,0.00,0,635,267,267,0.0
13,Eddie Nketiah,55,FWD,Arsenal,48,537,,0,664,0,0.0,0.0,,1035,0,0.0,0.0,2.6,,0,0,0,543,0.0,0.00,,2.3,0.0,0.0,0,1035,664,0.0,0.0,False,19,,,0.0,0.0,543,51,2.3,121,51,0,0.00,108,Nketiah,,48,0,0,33,537,537,0,a,0.00,0.00,0,537,48,48,0.0
14,Martin Ødegaard,85,MID,Arsenal,269,637,,0,1442,0,0.0,0.0,3.0,4157,0,0.0,0.0,24.2,1.0,0,0,0,638,0.0,0.00,,3.4,0.0,0.0,0,4157,1442,0.0,0.0,False,6,,,0.0,0.0,638,269,3.4,8,269,0,0.00,15,Ødegaard,,269,0,0,6,637,637,0,a,0.00,0.00,0,637,269,269,0.0
15,Thomas Partey,50,MID,Arsenal,119,401,,0,195,0,0.0,0.0,,168,0,0.0,0.0,0.4,,0,0,0,419,0.0,0.00,,2.1,0.0,0.0,0,168,195,0.0,0.0,False,78,,,0.0,0.0,419,130,2.1,209,130,0,0.00,249,Thomas,,119,0,0,135,401,401,0,a,0.00,0.00,0,401,119,119,0.0
16,Nicolas Pépé,50,MID,Arsenal,133,419,,0,39,0,0.0,0.0,,35,0,0.0,0.0,0.1,,0,0,0,434,0.0,0.00,,2.1,0.0,0.0,0,35,39,0.0,0.0,False,157,,,0.0,0.0,434,141,2.1,227,141,0,0.00,448,Pepe,,133,0,0,149,419,419,0,a,0.00,0.00,0,419,133,133,0.0
17,Aaron Ramsdale,50,GKP,Arsenal,70,445,,0,1563,0,0.0,0.0,,1445,0,0.0,0.0,18.8,,0,0,0,458,0.0,0.00,,3.7,0.0,0.0,0,1445,1563,0.0,0.0,False,3,,,0.0,0.0,458,71,3.7,253,71,0,0.00,19,Ramsdale,,70,0,0,11,445,445,0,a,0.00,0.00,0,445,70,70,0.0
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,18,29,,0,59,0,0.0,0.0,,130,0,0.0,0.0,0.2,,0,0,0,60,0.0,0.00,,1.5,0.0,0.0,0,130,59,0.0,0.0,False,54,,,0.0,0.0,60,20,1.5,565,20,0,0.00,355,Rúnarsson,,18,0,0,47,29,29,0,a,0.00,0.00,0,29,18,18,0.0
19,Bukayo Saka,85,MID,Arsenal,270,638,1.0,0,1018,0,0.0,0.0,1.0,6281,0,0.0,0.0,60.4,,0,0,0,639,0.0,0.00,,3.4,0.0,0.0,0,6281,1018,0.0,0.0,False,1,,,0.0,0.0,639,270,3.4,9,270,0,0.00,2,Saka,,270,0,0,7,638,638,0,a,0.00,0.00,0,638,270,270,0.0
20,William Saliba,50,DEF,Arsenal,203,478,,0,977,0,0.0,0.0,,2634,0,0.0,0.0,18.2,,0,0,0,489,0.0,0.00,,2.8,0.0,0.0,0,2634,977,0.0,0.0,False,8,,,0.0,0.0,489,204,2.8,286,204,0,0.00,20,Saliba,,203,0,0,34,478,478,0,a,0.00,0.00,0,478,203,203,0.0
21,Albert Sambi Lokonga,50,MID,Arsenal,160,466,,0,8,0,0.0,0.0,,9,0,0.0,0.0,0.0,,0,0,0,477,0.0,0.00,,2.1,0.0,0.0,0,9,8,0.0,0.0,False,234,,,0.0,0.0,477,166,2.1,274,166,0,0.00,587,Sambi,,160,0,0,176,466,466,0,a,0.00,0.00,0,466,160,160,0.0
22,Emile Smith Rowe,55,MID,Arsenal,209,539,,0,82,0,0.0,0.0,,41,0,0.0,0.0,0.2,,0,0,0,545,0.0,0.00,,2.6,0.0,0.0,0,41,82,0.0,0.0,False,107,,,0.0,0.0,545,212,2.6,123,212,0,0.00,347,Smith Rowe,,209,0,0,77,539,539,0,a,0.00,0.00,0,539,209,209,0.0
23,Nuno Varela Tavares,40,DEF,Arsenal,41,79,,0,113,0,0.0,0.0,,110,0,0.0,0.0,0.3,,0,0,0,109,0.0,0.00,,1.5,0.0,0.0,0,110,113,0.0,0.0,False,101,,,0.0,0.0,109,51,1.5,615,51,0,0.00,279,Tavares,,41,0,0,192,79,79,0,a,0.00,0.00,0,79,41,41,0.0
24,Kieran Tierney,45,DEF,Arsenal,119,194,,0,67,0,0.0,0.0,,74,0,0.0,0.0,0.4,,0,0,0,222,0.0,0.00,,2.5,0.0,0.0,0,74,67,0.0,0.0,False,92,,,0.0,0.0,222,127,2.5,390,127,0,0.00,256,Tierney,,119,0,0,90,194,194,0,a,0.00,0.00,0,194,119,119,0.0
25,Takehiro Tomiyasu,45,DEF,Arsenal,147,233,,0,71,0,0.0,0.0,,52,0,0.0,0.0,0.2,,0,0,0,260,0.0,0.00,,2.5,0.0,0.0,0,52,71,0.0,0.0,False,126,,,0.0,0.0,260,154,2.5,429,154,0,0.00,337,Tomiyasu,,147,0,0,118,233,233,0,a,0.00,0.00,0,233,147,147,0.0
26,Leandro Trossard,70,MID,Arsenal,252,608,,0,790,0,0.0,0.0,2.0,621,0,0.0,0.0,6.2,,0,0,0,610,0.0,0.00,,3.0,0.0,0.0,0,621,790,0.0,0.0,False,18,,,0.0,0.0,610,253,3.0,30,253,0,0.00,61,Trossard,,252,0,0,17,608,608,0,a,0.00,0.00,0,608,252,252,0.0
29,Benjamin White,55,DEF,Arsenal,209,529,,0,996,0,0.0,0.0,,1307,0,0.0,0.0,10.1,,0,0,0,535,0.0,0.00,,3.1,0.0,0.0,0,1307,996,0.0,0.0,False,13,,,0.0,0.0,535,209,3.1,113,209,0,0.00,38,White,,209,0,0,10,529,529,0,a,0.00,0.00,0,529,209,209,0.0
30,Granit Xhaka,60,MID,Arsenal,227,568,,0,57,0,0.0,0.0,,0,0,0.0,0.0,0.0,2.0,0,0,0,572,0.0,0.00,2023-07-11T08:41:07.159936Z,0.0,0.0,0.0,0,0,57,0.0,0.0,False,229,0.0,Transferred to Bayer Leverkusen,0.0,0.0,572,229,0.0,60,229,0,0.00,577,Xhaka,0.0,227,0,0,36,568,568,0,u,0.00,0.00,0,568,227,227,0.0
31,Oleksandr Zinchenko,50,DEF,Arsenal,195,427,,0,942,0,0.0,0.0,,990,0,0.0,0.0,7.0,,0,0,0,442,0.0,0.00,,2.8,0.0,0.0,0,990,942,0.0,0.0,False,20,,,0.0,0.0,442,197,2.8,235,197,0,0.00,52,Zinchenko,,195,0,0,26,427,427,0,a,0.00,0.00,0,427,195,195,0.0
540,Declan Rice,55,MID,Arsenal,206,535,,0,1588,0,0.0,0.0,,1483,0,0.0,0.0,6.4,,0,0,0,541,0.0,0.00,,2.6,0.0,0.0,0,1483,1588,0.0,0.0,False,15,,,0.0,0.0,541,209,2.6,119,209,0,0.00,58,Rice,,206,0,0,74,535,535,0,a,0.00,0.00,0,535,206,206,0.0
578,Reiss Nelson,50,MID,Arsenal,135,421,,0,26,0,0.0,0.0,,24,0,0.0,0.0,0.0,,0,0,0,436,0.0,0.00,2023-08-07T15:30:06.067296Z,2.1,0.0,0.0,0,24,26,0.0,0.0,False,222,100.0,,0.0,0.0,436,143,2.1,229,143,0,0.00,569,Nelson,100.0,135,0,0,151,421,421,0,a,0.00,0.00,0,421,135,135,0.0
585,Jurriën Timber,50,DEF,Arsenal,202,473,,0,573,0,0.0,0.0,,1545,0,0.0,0.0,6.1,,0,0,0,484,0.0,0.00,,2.8,0.0,0.0,0,1545,573,0.0,0.0,False,23,,,0.0,0.0,484,203,2.8,281,203,0,0.00,62,J.Timber,,202,0,0,33,473,473,0,a,0.00,0.00,0,473,202,202,0.0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,188,375,,0,52,0,0.0,0.0,,10,0,0.0,0.0,0.1,,0,0,0,395,0.0,0.00,2023-07-05T16:30:03.686424Z,0.0,0.0,0.0,0,10,52,0.0,0.0,False,190,0.0,Hamstring injury - Expected back 03 Sep,0.0,0.0,395,192,0.0,183,192,0,0.00,514,Alex Moreno,0.0,188,0,0,19,375,375,0,i,0.00,0.00,0,375,188,188,0.0
33,Cameron Archer,45,FWD,Aston Villa,12,274,,0,720,0,0.0,0.0,,1012,0,0.0,0.0,6.6,,0,0,0,299,0.0,0.00,,0.5,0.0,0.0,0,1012,720,0.0,0.0,False,11,,,0.0,0.0,299,16,1.0,470,16,0,0.00,57,Archer,,12,0,0,73,274,274,0,a,0.00,0.00,0,274,12,12,0.0
34,Leon Bailey,55,MID,Aston Villa,210,540,,0,228,0,0.0,0.0,4.0,244,0,0.0,0.0,0.7,3.0,0,0,0,546,0.0,0.00,,1.6,0.0,0.0,0,244,228,0.0,0.0,False,63,,,0.0,0.0,546,213,2.1,124,213,0,0.00,197,Bailey,,210,0,0,78,540,540,0,a,0.00,0.00,0,540,210,210,0.0
35,Emiliano Buendía Stati,60,MID,Aston Villa,233,578,,0,921,0,0.0,0.0,,2,0,0.0,0.0,0.2,,0,0,0,582,0.0,0.00,2023-08-10T11:00:05.686871Z,0.0,0.0,0.0,0,2,921,0.0,0.0,False,93,0.0,Knee injury - Expected back 10 Feb,0.0,0.0,582,235,0.0,70,235,0,0.00,316,Buendia,0.0,233,0,0,42,578,578,0,i,0.00,0.00,0,578,233,233,0.0
36,Matty Cash,45,DEF,Aston Villa,125,200,,0,483,0,0.0,0.0,,1323,0,0.0,0.0,7.8,,0,0,0,228,0.0,0.00,,1.5,0.0,0.0,0,1323,483,0.0,0.0,False,17,,,0.0,0.0,228,133,2.0,396,133,0,0.00,48,Cash,,125,0,0,96,200,200,0,a,0.00,0.00,0,200,125,125,0.0
37,Calum Chambers,40,DEF,Aston Villa,6,19,,0,156,0,0.0,0.0,,234,0,0.0,0.0,1.5,,0,0,0,50,0.0,0.00,,0.5,0.0,0.0,0,234,156,0.0,0.0,False,48,,,0.0,0.0,50,17,1.0,555,17,0,0.00,139,Chambers,,6,0,0,157,19,19,0,a,0.00,0.00,0,19,6,6,0.0
38,Philippe Coutinho Correia,60,MID,Aston Villa,228,569,2.0,0,224,0,0.0,0.0,5.0,274,0,0.0,0.0,0.6,4.0,0,0,0,573,0.0,0.00,,1.7,0.0,0.0,0,274,224,0.0,0.0,False,67,,,0.0,0.0,573,230,2.2,61,230,0,0.00,214,Coutinho,,228,0,0,37,569,569,0,a,0.00,0.00,0,569,228,228,0.0
39,Keinan Davis,50,FWD,Aston Villa,29,441,,0,118,0,0.0,0.0,,176,0,0.0,0.0,0.3,,0,0,0,454,0.0,0.00,,0.9,0.0,0.0,0,176,118,0.0,0.0,False,53,,,0.0,0.0,454,33,1.4,249,33,0,0.00,293,Davis,,29,0,0,49,441,441,0,a,0.00,0.00,0,441,29,29,0.0
40,Leander Dendoncker,50,MID,Aston Villa,110,391,,0,65,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,409,0.0,0.00,2023-08-10T15:00:04.947940Z,0.0,0.0,0.0,0,0,65,0.0,0.0,False,218,0.0,Muscle injury - Unknown return date,0.0,0.0,409,121,0.0,199,121,0,0.00,564,Dendoncker,0.0,110,0,0,126,391,391,0,i,0.00,0.00,0,391,110,110,0.0
41,Diego Carlos Santos Silva,45,DEF,Aston Villa,106,174,,0,137,0,0.0,0.0,,210,0,0.0,0.0,0.5,,0,0,0,203,0.0,0.00,,1.5,0.0,0.0,0,210,137,0.0,0.0,False,81,,,0.0,0.0,203,115,2.0,370,115,0,0.00,231,Diego Carlos,,106,0,0,77,174,174,0,a,0.00,0.00,0,174,106,106,0.0
42,Lucas Digne,45,DEF,Aston Villa,86,143,,0,131,0,0.0,0.0,3.0,187,0,0.0,0.0,1.2,2.0,0,0,0,172,0.0,0.00,,1.5,0.0,0.0,0,187,131,0.0,0.0,False,54,,,0.0,0.0,172,95,2.0,339,95,0,0.00,157,Digne,,86,0,0,57,143,143,0,a,0.00,0.00,0,143,86,86,0.0
43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,213,544,,0,855,0,0.0,0.0,1.0,263,0,0.0,0.0,3.1,1.0,0,0,0,549,0.0,0.00,,1.6,0.0,0.0,0,263,855,0.0,0.0,False,35,,,0.0,0.0,549,215,2.1,128,215,0,0.00,98,Douglas Luiz,,213,0,0,81,544,544,0,a,0.00,0.00,0,544,213,213,0.0
44,Jhon Durán,50,FWD,Aston Villa,38,480,,0,95,0,0.0,0.0,,2,0,0.0,0.0,0.1,,0,0,0,491,0.0,0.00,2023-08-10T15:00:04.972558Z,0.0,0.0,0.0,0,2,95,0.0,0.0,False,74,0.0,Muscle injury - Expected back 03 Sep,0.0,0.0,491,41,0.0,288,41,0,0.00,515,Duran,0.0,38,0,0,58,480,480,0,i,0.00,0.00,0,480,38,38,0.0
45,Kortney Hause,40,DEF,Aston Villa,14,33,,0,48,0,0.0,0.0,,44,0,0.0,0.0,0.2,,0,0,0,64,0.0,0.00,,0.5,0.0,0.0,0,44,48,0.0,0.0,False,125,,,0.0,0.0,64,25,1.0,569,25,0,0.00,336,Hause,,14,0,0,165,33,33,0,a,0.00,0.00,0,33,14,14,0.0
46,Tim Iroegbunam,45,MID,Aston Villa,59,314,,0,60,0,0.0,0.0,,5,0,0.0,0.0,0.0,,0,0,0,337,0.0,0.00,2023-08-10T15:00:04.998490Z,0.0,0.0,0.0,0,5,60,0.0,0.0,False,192,0.0,Muscle injury - Unknown return date,0.0,0.0,337,72,0.0,510,72,0,0.00,522,Iroegbunam,0.0,59,0,0,256,314,314,0,i,0.00,0.00,0,314,59,59,0.0
47,Boubacar Kamara,50,MID,Aston Villa,149,448,,0,43,0,0.0,0.0,,47,0,0.0,0.0,0.1,,0,0,0,461,0.0,0.00,,1.1,0.0,0.0,0,47,43,0.0,0.0,False,156,,,0.0,0.0,461,156,1.6,256,156,0,0.00,447,Kamara,,149,0,0,165,448,448,0,a,0.00,0.00,0,448,149,149,0.0
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,126,201,,0,103,0,0.0,0.0,,49,0,0.0,0.0,1.3,,0,0,0,229,0.0,0.00,,1.5,0.0,0.0,0,49,103,0.0,0.0,False,50,,,0.0,0.0,229,134,2.0,397,134,0,0.00,147,Konsa,,126,0,0,97,201,201,0,a,0.00,0.00,0,201,126,126,0.0
49,Emiliano Martínez Romero,50,GKP,Aston Villa,64,372,,0,828,0,0.0,0.0,,1149,0,0.0,0.0,8.1,,0,0,0,392,0.0,0.00,,2.7,0.0,0.0,0,1149,828,0.0,0.0,False,9,,,0.0,0.0,392,65,3.2,180,65,0,0.00,46,Martinez,,64,0,0,5,372,372,0,a,0.00,0.00,0,372,64,64,0.0
50,John McGinn,55,MID,Aston Villa,188,511,,0,108,0,0.0,0.0,2.0,91,0,0.0,0.0,0.5,,0,0,0,518,0.0,0.00,,1.6,0.0,0.0,0,91,108,0.0,0.0,False,73,,,0.0,0.0,518,192,2.1,95,192,0,0.00,227,McGinn,,188,0,0,56,511,511,0,a,0.00,0.00,0,511,188,188,0.0
51,Tyrone Mings,45,DEF,Aston Villa,100,163,,0,701,0,0.0,0.0,,1095,0,0.0,0.0,14.3,,0,0,0,192,0.0,0.00,,1.5,0.0,0.0,0,1095,701,0.0,0.0,False,11,,,0.0,0.0,192,109,2.0,359,109,0,0.00,32,Mings,,100,0,0,71,163,163,0,a,0.00,0.00,0,163,100,100,0.0
53,Robin Olsen,40,GKP,Aston Villa,16,27,,0,56,0,0.0,0.0,,253,0,0.0,0.0,0.9,,0,0,0,58,0.0,0.00,,0.5,0.0,0.0,0,253,56,0.0,0.0,False,24,,,0.0,0.0,58,18,1.0,563,18,0,0.00,179,Olsen,,16,0,0,45,27,27,0,a,0.00,0.00,0,27,16,16,0.0
54,Jaden Philogene-Bidace,45,MID,Aston Villa,53,304,,0,31,0,0.0,0.0,,71,0,0.0,0.0,0.1,,0,0,0,327,0.0,0.00,,0.5,0.0,0.0,0,71,31,0.0,0.0,False,130,,,0.0,0.0,327,66,1.0,500,66,0,0.00,404,Philogene,,53,0,0,250,304,304,0,a,0.00,0.00,0,304,53,53,0.0
55,Jacob Ramsey,60,MID,Aston Villa,237,584,,0,253,0,0.0,0.0,,4,0,0.0,0.0,0.2,,0,0,0,588,0.0,0.00,2023-07-25T12:00:03.978550Z,0.0,0.0,0.0,0,4,253,0.0,0.0,False,117,0.0,Foot injury - Expected back 16 Sep,0.0,0.0,588,239,0.0,76,239,0,0.00,374,J.Ramsey,0.0,237,0,0,46,584,584,0,i,0.00,0.00,0,584,237,237,0.0
56,Morgan Sanson,45,MID,Aston Villa,6,161,,0,18,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,190,0.0,0.00,2023-07-26T11:26:30.137805Z,0.0,0.0,0.0,0,0,18,0.0,0.0,False,254,0.0,Joined OGC Nice on a season-long loan,0.0,0.0,190,20,0.0,357,20,0,0.00,617,Sanson,0.0,6,0,0,203,161,161,0,u,0.00,0.00,0,161,6,6,0.0
57,Viljami Sinisalo,40,GKP,Aston Villa,38,74,,0,8,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,104,0.0,0.00,2023-07-20T08:38:58.947431Z,0.0,0.0,0.0,0,0,8,0.0,0.0,False,72,0.0,Joined Exeter City on a season-long loan,0.0,0.0,104,40,0.0,610,40,0,0.00,630,Sinisalo,0.0,38,0,0,67,74,74,0,u,0.00,0.00,0,74,38,38,0.0
58,Youri Tielemans,60,MID,Aston Villa,229,573,,0,309,0,0.0,0.0,,300,0,0.0,0.0,1.2,,0,0,0,577,0.0,0.00,,1.7,0.0,0.0,0,300,309,0.0,0.0,False,50,,,0.0,0.0,577,231,2.2,65,231,0,0.00,149,Tielemans,,229,0,0,38,573,573,0,a,0.00,0.00,0,573,229,229,0.0
59,Bertrand Traoré,50,MID,Aston Villa,104,379,,0,65,0,0.0,0.0,,1,0,0.0,0.0,0.0,,0,0,0,399,0.0,0.00,2023-08-10T15:00:05.039703Z,0.0,0.0,0.0,0,1,65,0.0,0.0,False,216,0.0,Muscle injury - Unknown return date,0.0,0.0,399,115,0.0,187,115,0,0.00,561,Bertrand Traoré,0.0,104,0,0,120,379,379,0,i,0.00,0.00,0,379,104,104,0.0
60,Ollie Watkins,80,FWD,Aston Villa,79,632,1.0,0,3045,0,0.0,0.0,,8195,0,0.0,0.0,26.3,,0,0,0,633,0.0,0.00,,2.1,0.0,0.0,0,8195,3045,0.0,0.0,False,2,,,0.0,0.0,633,80,2.6,13,80,0,0.00,13,Watkins,,79,0,0,5,632,632,0,a,0.00,0.00,0,632,79,79,0.0
61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,27,433,,0,29,0,0.0,0.0,,0,0,0.0,0.0,0.0,,0,0,0,446,0.0,0.00,2023-07-31T07:08:09.572672Z,0.0,0.0,0.0,0,0,29,0.0,0.0,False,81,0.0,Permanent transfer to Stoke,0.0,0.0,446,31,0.0,241,31,0,0.00,607,Wesley,0.0,27,0,0,47,433,433,0,u,0.00,0.00,0,433,27,27,0.0
584,Pau Torres,45,DEF,Aston Villa,163,262,,0,170,0,0.0,0.0,,377,0,0.0,0.0,2.8,,0,0,0,289,0.0,0.00,,1.5,0.0,0.0,0,377,170,0.0,0.0,False,35,,,0.0,0.0,289,170,2.0,458,170,0,0.00,107,Pau,,163,0,0,134,262,262,0,a,0.00,0.00,0,262,163,163,0.0
599,Moussa Diaby,65,MID,Aston Villa,247,601,,0,869,0,0.0,0.0,,1837,0,0.0,0.0,6.2,,0,0,0,604,0.0,0.00,,1.8,0.0,0.0,0,1837,869,0.0,0.0,False,17,,,0.0,0.0,604,248,2.3,52,248,0,0.00,60,Diaby,,247,0,0,31,601,601,0,a,0.00,0.00,0,601,247,247,0.0
618,Omari Kellyman,45,MID,Aston Villa,74,337,,0,17,0,0.0,0.0,,46,0,0.0,0.0,0.0,,0,0,0,360,0.0,0.00,,0.5,0.0,0.0,0,46,17,0.0,0.0,False,217,,,0.0,0.0,360,87,1.0,533,87,0,0.00,563,Kellyman,,74,0,0,271,337,337,0,a,0.00,0.00,0,337,74,74,0.0
62,Jaidon Anthony,50,MID,Bournemouth,163,471,,0,48,0,0.0,0.0,3.0,57,0,0.0,0.0,0.2,2.0,0,0,0,482,0.0,0.00,,1.6,0.0,0.0,0,57,48,0.0,0.0,False,115,,,0.0,0.0,482,169,1.1,279,169,0,0.00,372,Anthony,,163,0,0,179,471,471,0,a,0.00,0.00,0,471,163,163,0.0
63,Philip Billing,55,MID,Bournemouth,196,520,,0,197,0,0.0,0.0,5.0,77,0,0.0,0.0,0.8,1.0,0,0,0,527,0.0,0.00,,2.1,0.0,0.0,0,77,197,0.0,0.0,False,61,,,0.0,0.0,527,200,1.6,104,200,0,0.00,184,Billing,,196,0,0,64,520,520,0,a,0.00,0.00,0,520,196,196,0.0
64,David Brooks,50,MID,Bournemouth,105,380,,0,19,0,0.0,0.0,,21,0,0.0,0.0,0.1,,0,0,0,400,0.0,0.00,,1.6,0.0,0.0,0,21,19,0.0,0.0,False,147,,,0.0,0.0,400,116,1.1,188,116,0,0.00,435,Brooks,,105,0,0,121,380,380,0,a,0.00,0.00,0,380,105,105,0.0
65,Ryan Christie,50,MID,Bournemouth,117,399,,0,15,0,0.0,0.0,,1,0,0.0,0.0,0.0,,0,0,0,417,0.0,0.00,2023-08-06T23:30:05.398527Z,1.2,0.0,0.0,0,1,15,0.0,0.0,False,239,75.0,Muscle injury - 75% chance of playing,0.0,0.0,417,128,0.8,207,128,0,0.00,596,Christie,75.0,117,0,0,133,399,399,0,d,0.00,0.00,0,399,117,117,0.0
